['Name', 'ID', 'accstate', 'datastate', 'deviceMTM', 'datatype', 'extpool', 'exts', 'cap', 'volgrp', 'ranks', 'sam', 'perfgrp', 'resgrp', 'GUID']
['DBLIVE_ASM_3242', '3242', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003242']
['DBLIVE_ASM_3243', '3243', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003243']
['DBLIVE_ASM_3244', '3244', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003244']
['DBLIVE_ASM_3245', '3245', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003245']
['DBLIVE_ASM_3246', '3246', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003246']
['DBLIVE_ASM_3247', '3247', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003247']
['DBLIVE_ASM_3248', '3248', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003248']
['DBLIVE_ASM_3249', '3249', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003249']
['DBLIVE_ASM_324A', '324A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000324A']
['DBLIVE_ASM_324B', '324B', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000324B']
['DBLIVE_ARCV_3300', '3300', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003300']
['DBLIVE_ARCV_3301', '3301', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003301']
['DBLIVE_ARCV_3302', '3302', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003302']
['DBLIVE_ARCV_3303', '3303', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003303']
['DBLIVE_ARCV_3304', '3304', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003304']
['DBLIVE_ARCV_3305', '3305', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003305']
['DBLIVE_ARCV_3306', '3306', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003306']
['DBLIVE_ARCV_3307', '3307', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003307']
['DBLIVE_ARCV_3308', '3308', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003308']
['DBLIVE_ARCV_3309', '3309', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003309']
['DBLIVE_ARCV_330A', '330A', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330A']
['DBLIVE_ARCV_330B', '330B', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330B']
['DBLIVE_ARCV_330C', '330C', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330C']
['DBLIVE_ARCV_330D', '330D', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330D']
['DBLIVE_ARCV_330E', '330E', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330E']
['DBLIVE_ARCV_330F', '330F', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000330F']
['DBLIVE_ARCV_3310', '3310', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003310']
['DBLIVE_ARCV_3311', '3311', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003311']
['DBLIVE_ARCV_3312', '3312', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003312']
['DBLIVE_ARCV_3313', '3313', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003313']
['DBLIVE_ARCV_3314', '3314', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003314']
['DBLIVE_ARCV_3315', '3315', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003315']
['DBLIVE_ARCV_3316', '3316', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003316']
['DBLIVE_ARCV_3317', '3317', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003317']
['DBLIVE_ARCV_3318', '3318', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003318']
['DBLIVE_ARCV_3319', '3319', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003319']
['DBLIVE_ARCV_331A', '331A', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000331A']
['DBLIVE_ARCV_331B', '331B', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000331B']
['DBLIVE_ARCV_331C', '331C', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000331C']
['DBLIVE_ARCV_331D', '331D', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000331D']
['DBLIVE_ASM_3320', '3320', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003320']
['DBLIVE_ASM_3321', '3321', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003321']
['DBLIVE_ASM_3322', '3322', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003322']
['DBLIVE_ASM_3323', '3323', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003323']
['DBLIVE_ASM_3324', '3324', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003324']
['DBLIVE_ASM_3325', '3325', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003325']
['DBLIVE_ASM_3326', '3326', 'Online', 'Normal', '2107-900', 'FB', 'P3', '100', '', 'V4,V9', '4', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003326']
